name,chisq,rin,rout,rlaw,amin,amax,alaw,mass,fcryst1,oliv1,ffost1
HD133803,3.6124,0.12258259,7.939336651,-0.2958,6.8504,7.355932,4.0312,0.000218502,0.0314,0.6298,0.0911
HD134888,3.2731,0.066067687,25.65464129,-0.7719,23.2751,25.022718,3.5843,0.032408206,0.4185,0.7276,0.0004
HD135379,7.166,1.042920335,66.24929275,0.3399,3.3794,39.642357,3.9993,0.004319714,0.0093,0.5948,0.3954
HD136347,3.2297,0.42831022,0.664110026,2.0703,23.0953,24.335328,4.0282,7.60E-06,0.9965,0.3302,0.9977
HD136482,1.6892,2.879895874,1080.797138,0.5311,4.4887,250,3.4838,0.048658082,0.1913,0.3325,0.1573
HD137057,2.8605,0.321329179,50.65362495,-0.5038,3.2353,5.843452,4.1541,0.001728045,0.1648,0.0007,0.1087
HD137119,2.8729,0.875200052,10.58562778,0.4167,3.7778,13.322333,3.0127,4.26E-05,0.4403,0.1138,0.1706
AlphaCrb,50.6973,1.057199683,51.22479037,-1.5554,24.9082,250,4.1355,0.049837355,0.0014,0.0646,0.3165
HD138813,4.4096,1.154631633,46.65039334,-1.4067,15.0471,144.269818,3.6668,0.034289013,0.0018,0.517,0.2059
HD140840,2.1614,0.494938927,742.2447895,-0.1355,3.5735,5.473102,2.9488,0.035176691,0.0969,0.645,0.3528
HD141254,2.3971,0.069061554,32.01943036,0.7009,8.4698,8.888043,3.377,6.09E-05,0.9987,0.5096,0.186
HD141327,2.0175,1.677769004,1212.773224,0.7094,7.6213,11.290334,3.3137,0.001607885,0.0034,0.2904,0.8956
HD142139,1.3482,0.29797544,335.3771735,0.1969,3.8064,250,4.3801,0.01526353,0.2582,0.4456,0.018
HD143675,4.7114,0.511006389,243.1860566,0.0062,2.2549,250,4.4068,0.044653447,0.176,0.5095,0.4739
HD144587,1.4479,0.261353745,78.98196663,0.319,2.4208,98.750658,3.6186,0.002317688,0.0765,0.3476,0.1378
HD144981,1.0104,0.890620123,479.9407735,0.8314,3.652,92.756239,3.6969,0.001479636,0.2082,0.5348,0.5325
HD145554,2.3046,1.445775988,189.0943679,0.6949,4.3391,133.241991,3.321,0.003258029,0.1853,0.4576,0.1759
HD145631,0.886,6.081531645,61.78475011,3.398,22.1074,250,1.5645,0.001007987,0.138,0.5033,0.5196
HD145972,1.5812,0.033067985,18.90658589,0.1817,2.3126,124.110517,3.5287,0.00064797,0.0317,0.5816,0.908
HD145689,4.5816,0.058085069,120.1154485,0.5519,12.1307,96.721859,3.0022,0.003321659,0.0114,0.6543,0.16
HD146606,1.8828,1.142408992,822.2456413,0.4649,6.3172,8.696112,2.1321,0.010453338,0.1819,0.9335,0.4246
HD146897,6.3482,5.027465005,1313.585739,2.6491,2.3092,27.085571,2.1495,0.039089039,0.0773,0.8303,0.606
HD147010,0.9089,10.51384924,4273.52103,0.6769,7.7874,250,4.1975,0.434865534,0.1675,0.4497,0.1266
HD147137,1.9734,0.662572274,19.06729129,-0.7547,5.8477,9.451263,3.9803,0.000183762,0.3785,0.4363,0.3882
HD147594,2.2652,0.065125147,287.8833872,0.3762,5.9662,6.481878,3.9994,0.010554921,0.2213,0.1296,0.7771
HD151109,2.8126,4.587798259,246.1891711,-0.1203,9.9857,10.813054,3.0041,0.001980865,0.1298,0.4786,0.6607
HD157728,17.2668,0.263070204,24.11093926,-1.4876,19.5565,250,2.6389,0.534878311,0.0858,0.4239,0.0002
HD159492,15.8076,0.146240794,11.59993219,-0.7109,14.5252,20.978227,5.1575,0.001778095,0.0009,0.197,0.0136
GamOph,20.0829,0.411772733,114.6881033,-0.9415,20.6287,250,5.1584,0.466503588,0.0001,0.2032,0.4644
HD164029,3.9742,0.147880333,0.153009954,4.4257,6.2957,250,4.9487,1.69E-05,0.8792,0.9665,0.2887
HD169666,3.0339,0.302546018,35.15188038,0.3501,2.9611,9.64424,3.0073,0.002251412,0.2458,0.8089,0.1085
HD169022,11.7168,2.001267499,158.5041427,0.7455,8.3245,8.734695,4.8249,0.000427322,0.937,0.2371,0.0841
HD172555,13.8727,0.368263352,27.92557768,0.5159,1.0009,94.547239,3.334,0.013767497,0.0043,0.2631,0.6826
EtaTel,8.694,1.398597495,66.89805873,0.1185,3.9656,250,4.3612,0.014847557,0.2267,0.8212,0.3127
HD181327,9.9488,6.317141237,20.18352748,3.365,6.0858,6.512075,4.2794,0.018537663,0.0841,0.7647,0.0336
HD182919,3.0407,2.256216075,396.6638142,0.6686,7.5783,17.689812,3.3449,0.004209737,0.3229,0.2787,0.0243
HD184930,3.294,11.0173398,11.29850325,-3.3186,13.4236,35.294048,4.2369,3.69E-06,0.7808,0.9998,0.6263
HD191174,0.4078,0.348207857,322.1909273,0.5783,3.8633,11.362537,4.8415,0.001232126,0.1222,0.7872,0.1612
HD191089,3.5015,4.078421359,18.02770938,2.0963,6.5384,7.003377,2.3195,0.007745599,0.1278,0.1711,0.397
HD221853,3.954,10.99985491,127195.6947,2.8385,2.5161,34.144792,2.8967,0.049574117,0.0032,0.6184,0.874
NGC2422PMS112,22.1639,2.23E-18,6.60E-16,2.607,1.9492,2.051188,4.9258,4.77E-07,0.2413,0.9994,0.7101
