name,chisq,temp1,temp2,Loc1,Loc2,amin1,amin2,mass1,mass2,fcryst1,fcryst2,oliv1,oliv2,ffost1,ffost2
HD34324,2.2688,39.3347,150.4701,351.0927493,9.427511268,6.8262,11.0147,0.02165484,7.96E-05,0.3842,0.101,0.4313,0.8837,0.6224,0.145
HD35150,2.5082,137.3302,451.6705,9.122739577,0.924548402,4.3937,21.7661,4.56E-06,4.44E-07,0.0017,0.0311,0.366,0.3514,0.7638,0.3258
HD37286,8.5659,143.2315,506.6122,7.00277602,0.659952857,7.1972,7.0267,4.71E-05,7.53E-07,0.1782,0.6271,0.0478,0.8753,0.0078,0.4109
HD37306,4.1541,107.3566,606.3351,20.72874413,0.768806316,7.1554,6.0676,0.000212254,4.42E-07,0.007,0.397,0.1832,0.1914,0.1007,0.28
HD37564,5.5643,156.5876,953.2317,12.11943018,0.431490964,6.6711,28.0848,2.52E-05,6.46E-07,0.008,0.4792,0.4843,0.8269,0.6437,0.5923
HD38206,11.8704,85.074,369.833,52.05121429,3.103557431,22.1974,4.8116,0.004541036,2.66E-06,0.0075,0.0022,0.4593,0.8121,0.4002,0.6778
ZetaLep,26.2341,141.0189,447.836,13.79518259,1.67077847,15.3297,6.7614,0.00197722,9.18E-06,0.0066,0.0173,0.0806,0.3959,0.5189,0.3354
BetaPic,6.3931,118.2489,953.3359,9.727952858,0.179142086,14.6938,8.2872,0.073022213,2.64E-05,0.0363,0.6402,0.7561,0.8277,0.5816,0.3365
HD40540,1.1848,87.4646,373.3169,16.52540467,1.00622692,10.6343,10.0118,0.001306036,4.44E-07,0.0122,0.0351,0.9041,0.5019,0.0895,0.1832
HD53842,10.1531,131.2517,397.4361,2.154533264,0.37310243,15.818,14.6396,6.22E-05,4.63E-07,0.5736,0.191,0.0514,0.5681,0.0016,0.7759
ID8,0.9022,76.6092,382.6172,4.928866524,0.20934504,4.5489,1.4415,1.66E-05,4.33E-07,0.3556,0.0013,0.3164,0.6144,0.8914,0.6803
HD68420,101.1882,98.7716,406.2752,21.18099635,1.590350704,18.4574,24.2594,1.20E-05,4.57E-07,0.1464,0.0027,0.4332,0.2022,0.0756,0.1186
HD69830,0.7486,211.4288,406.0581,0.318612009,0.132174304,13.2618,1.7289,2.65E-05,1.61E-06,0.0007,0.2873,0.0215,0.9847,0.0697,0.7585
HD71043,17.2357,131.7234,423.9374,16.61001557,1.901671391,7.7952,10.7883,5.19E-05,1.82E-06,0.005,0.0255,0.7925,0.132,0.0006,0.2533
HD71155,1.6846,76.1535,280.6231,113.708007,5.535157113,4.3958,4.2976,0.002602885,7.62E-06,0.1065,0.0065,0.3934,0.2624,0.3007,0.6818
HD75416,1.7749,196.7914,469.3909,29.80884674,6.321817257,16.3915,19.4352,5.58E-05,1.44E-05,0.0887,0.1144,0.1793,0.2222,0.8075,0.4736
HD74873,4.6509,128.4485,489.9514,14.7191128,1.127779822,26.6229,6.9254,0.000294005,5.96E-07,0.0425,0.3672,0.1018,0.0578,0.9123,0.3863
HD84870,8.6691,67.1183,553.4184,29.89204299,0.670682301,7.1246,15.1427,0.001763823,4.31E-07,0.9394,0.4234,0.428,0.1886,0.1122,0.6744
HD86087,3.9357,94.7174,476.0197,65.10336874,2.913864674,6.7997,5.7385,0.001071655,7.75E-07,0.0517,0.0577,0.6676,0.9237,0.1113,0.1569
HD98363,2.5577,109.3212,291.7939,20.23150303,2.46669764,3.8982,27.6487,0.000299678,2.74E-05,0.0788,0.0067,0.3228,0.9751,0.5024,0.4584
HD104231,7.1723,159.9308,624.9198,2.021860898,0.154513662,3.9462,22.1545,4.40E-06,5.55E-07,0.0037,0.0091,0.893,0.875,0.8781,0.9924
HD104600,57.1471,117.7866,300.4917,51.51936927,8.288479862,7.3491,20.746,0.000259272,2.33E-05,0.0068,0.2442,0.3001,0.2779,0.7247,0.2183
EfCha,2.0395,178.2758,999.6296,5.163632388,0.365703858,11.3291,2.9722,3.96E-05,5.18E-07,0.2047,0.2672,0.035,0.4946,0.217,0.9993
HD105613,7.5555,138.8436,451.728,11.05040581,1.135639699,4.3229,6.9979,7.28E-06,5.67E-07,0.0333,0.0154,0.7132,0.0646,0.0701,0.4751
HD105850,2.0817,97.6789,562.5203,27.59897784,0.931736453,6.3723,21.7086,0.00019923,2.06E-06,0.0744,0.0135,0.607,0.9916,0.6402,0.0256
HD105857,4.1133,188.9572,496.8935,5.159068099,0.928989149,5.2238,28.4434,1.05E-05,8.25E-07,0.0437,0.0042,0.4129,0.5863,0.3039,0.6584
HD106036,2.1118,163.2875,503.9979,6.734025614,0.941321903,8.8424,5.0563,9.06E-05,8.42E-07,0.2276,0.4475,0.1969,0.2588,0.0049,0.4572
HD106797,12.848,148.2473,473.6335,19.07397694,2.110924581,7.3107,6.9749,0.000170866,1.80E-06,0.0077,0.4051,0.7585,0.4228,0.1147,0.2709
HD106906,3.3959,103.0965,275.7889,6.588365712,0.934308487,6.9501,3.8618,0.000909819,6.90E-07,0.0342,0.0106,0.8245,0.6156,0.2771,0.4343
HD107301,4.7803,165.5761,604.6872,20.40861314,2.01803944,9.1284,28.7696,0.000106477,6.30E-07,0.0003,0.0012,0.1429,0.6387,0.1932,0.4713
HD107947,2.7033,135.809,432.8027,15.94549661,1.739352951,24.4517,11.1686,0.000220778,1.36E-06,0,0.0695,0.3693,0.8858,0.1832,0.0047
HD108857,4.2882,105.8783,316.9729,5.368813058,0.702630966,22.2954,26.2093,9.07E-05,1.66E-05,0.2204,0.0025,0.8464,0.2964,0.2391,0.6614
HD108904,0.2351,154.4869,272.6794,3.143429772,1.228016442,3.5865,1.5391,1.98E-05,8.29E-07,0.0835,0.0936,0.4462,0.1764,0.7277,0.6761
EtaCrv,39.658,150.6244,524.4953,3.529621747,0.323960776,3.4226,6.5895,0.000195054,1.82E-05,0.0809,0.0236,0.9224,0.7634,0.1128,0.478
HD109573,3.6732,102.3168,294.9503,30.09642558,3.703786752,7.8025,3.6715,0.032318782,2.95E-06,0.0301,0.4762,0.0356,0.3255,0.2841,0.5298
HD109704,2.2941,108.1162,616.724,14.80987053,0.810260612,6.5947,11.1505,0.000139655,6.84E-07,0.6999,0.2363,0.3526,0.8774,0.0106,0.9371
HD109832,7.7801,111.0798,344.7923,6.908030437,0.717004916,6.0969,10.5109,0.000152882,8.81E-07,0.0086,0.0251,0.934,0.0561,0.0544,0.2615
HD110058,6.8389,113.5994,594.6333,11.08249587,0.536147462,6.8102,13.7553,0.001145394,5.93E-07,0.036,0.0091,0.1784,0.2357,0.0464,0.6868
HD110411,1.8184,82.639,489.1997,38.97887945,1.22261138,7.2531,18.7875,0.001454303,2.91E-06,0.012,0.045,0.2281,0.0887,0.0823,0.3142
HD111520,5.8419,101.9937,488.8672,4.927753034,0.278142147,6.6319,23.4933,0.000330716,4.69E-07,0.1532,0.9873,0.9905,0.3567,0.2994,0.8105
HD112383,1.075,97.7258,300.3343,47.0005488,3.110966831,2.8012,18.1239,9.06E-05,1.17E-05,0.0236,0.0074,0.4583,0.0417,0.2637,0.4162
HD113457,2.7531,155.5838,387.8916,12.396533,2.171558897,17.9834,5.1324,0.000212254,2.08E-06,0.0113,0.1114,0.9895,0.0916,0.2787,0.2938
HD113556,3.1646,83.7298,456.1379,9.469395518,0.457506232,14.3484,15.1672,0.000873685,5.47E-07,0.3419,0.1493,0.3023,0.0004,0.1589,0.9877
HD113766,1.8594,196.1514,724.8448,2.381350976,0.374021771,15.8854,3.2742,0.001083815,1.41E-05,0.767,0.4976,0.5007,0.5531,0.0089,0.4748
HD114082,5.036,113.3271,535.0046,4.46530583,0.219031966,4.4805,21.7832,0.000761825,4.93E-07,0.1024,0.0595,0.4386,0.4525,0.9177,0.7674
HD115361,1.8987,96.0512,250.3764,6.459042425,1.087617439,17.6857,29.1514,0.000397883,8.60E-06,0.0008,0.0057,0.3519,0.7236,0.3593,0.9975
HD117214,1.5524,113.9728,629.464,5.099010336,0.181501272,4.6421,28.8358,0.000589189,5.22E-07,0.0249,0.0084,0.8986,0.8408,0.8462,0.6009
HD117484,3.4046,97.457,280.7409,37.39045177,4.450102818,8.0329,5.565,0.000335162,1.98E-06,0.0078,0.0123,0.359,0.3366,0.3506,0.7722
HD117524,2.829,36.3159,539.9944,38.89049054,0.151278627,15.9411,29.9926,1.00E-05,4.31E-07,0.7847,0.5659,0.0864,0.9998,0.7123,0.6827
HD117665,2.2089,108.3671,306.4762,28.01409541,2.710006858,3.7801,6.9438,6.20E-05,3.18E-06,0.0012,0.186,0.3887,0.1659,0.996,0.6381
HD118379,2.146,100.1093,264.1397,19.87995869,2.877071498,13.9354,10.4225,0.000336554,7.33E-07,0.0004,0.1512,0.433,0.7049,0.3879,0.1072
HD118588,4.1142,134.3168,317.7566,10.75603006,2.065299306,7.4073,7.341,5.76E-05,1.81E-06,0.0403,0.0027,0.4322,0.5439,0.0983,0.5498
HD120326,2.1468,121.5966,247.9322,5.386323664,1.124282067,6.7578,6.7628,0.000310281,8.90E-07,0.0226,0.4109,0.7764,0.8297,0.0699,0.1659
HD122705,1.9234,89.5353,395.2302,37.44559469,1.307987876,3.3274,7.0393,2.97E-05,4.31E-07,0.0844,0.0373,0.3249,0.7445,0.0951,0.303
HD124619,3.395,104.4302,484.9079,6.685480559,0.414758147,14.026,29.1489,2.20E-05,7.43E-07,0.1349,0.004,0.338,0.342,0.1658,0.2414
HD125541,1.512,121.8294,393.0424,4.733914856,0.460937924,4.7525,12.0292,2.22E-05,4.41E-07,0.1126,0.0492,0.7513,0.4818,0.5741,0.0686
HD126062,7.5683,101.1937,416.2939,25.10965991,1.636823722,6.7139,14.0071,0.000125359,7.20E-07,0.0127,0.0175,0.5189,0.2916,0.03,0.8823
HD126135,13.2566,91.4506,333.9714,82.42458514,5.241725834,4.4268,8.8271,4.44E-05,1.52E-06,0.4061,0.001,0.713,0.557,0.0588,0.3641
HD127750,0.6876,56.316,292.776,312.2972827,4.121635677,3.0409,3.6506,0.003803251,5.59E-07,0.0123,0.1635,0.7192,0.7347,0.9777,0.7282
HD129590,3.6124,87.3724,431.6817,7.073010625,0.322655802,7.3176,21.9138,0.002261283,4.94E-07,0.0496,0.0012,0.5438,0.9944,0.2063,0.1393
HD132238,3.2731,142.6992,352.0021,65.74100842,11.18912881,23.7659,23.0643,7.97E-05,5.81E-06,0.2564,0.1417,0.7325,0.8565,0.8022,0.0074
HD133803,7.166,71.3421,250.0297,13.53756143,1.239844099,25.5906,6.218,0.001097375,5.35E-06,0.3321,0.0328,0.7274,0.851,0.0656,0.0896
HD134888,3.2297,94.9524,603.6612,5.838657913,0.202456607,14.0757,27.0467,0.000584999,4.36E-07,0.0395,0.0896,0.444,0.0701,0.7731,0.8217
HD135379,1.6892,155.5333,420.3608,8.372062633,1.344813035,5.9544,5.1974,0.000117315,1.92E-06,0.0044,0.0237,0.573,0.2613,0.5389,0.7631
HD136347,2.8605,43.8027,501.2727,322.0285237,2.93254176,24.2937,29.9816,2.13E-06,4.31E-07,0.8541,0.9974,0.8164,0.3638,0.7421,0.9976
HD136482,2.8729,160.294,526.7652,21.94375149,2.60148912,15.3835,10.5522,7.59E-05,7.78E-07,0.1082,0.3827,0.0793,0.5307,0.118,0.527
HD137057,50.6973,100.3798,353.1838,12.40161607,0.971747289,4.6716,28.2899,0.000113568,1.26E-06,0.1006,0.0002,0.1612,0.2638,0.1843,0.8283
HD137119,4.4096,163.5998,346.0071,6.610423717,1.588183741,5.339,8.719,7.89E-06,1.32E-06,0.0632,0.0287,0.1516,0.2097,0.1819,0.2639
AlphaCrb,2.1614,127.3464,999.9738,30.30418046,0.352687119,14.1544,21.6934,0.002351554,2.89E-06,0.0079,0.9998,0.7374,0.2075,0.4274,0.0014
HD138813,2.3971,122.4366,501.0663,21.91708074,1.805143631,14.5308,12.3185,0.001523544,1.20E-06,0.0757,0.324,0.3566,0.2325,0.8051,0.9494
HD140840,2.0175,98.5415,417.0804,30.40217089,2.096139695,18.0315,7.0471,0.000855766,4.42E-07,0.1193,0.5574,0.427,0.2009,0.184,0.6716
HD141254,1.3482,79.3361,462.9468,8.993157179,0.263150293,22.8703,22.0853,0.000179868,4.31E-07,0.1612,0.8067,0.2274,0.358,0.0437,0.3452
HD141327,4.7114,78.7987,357.4159,82.92950446,4.458861575,20.9906,12.0625,0.000412624,1.30E-06,0.0015,0.0066,0.4756,0.1628,0.7872,0.2534
HD142139,1.4479,120.4113,492.1569,14.91366275,1.039232206,17.841,6.8019,0.000192422,4.47E-07,0.0879,0.388,0.4086,0.5676,0.0517,0.2978
HD143675,1.0104,129.9924,375.883,6.490428205,0.929783822,10.3576,3.4337,0.000174323,5.39E-07,0.3579,0.5223,0.1371,0.1069,0.0008,0.3022
HD144587,2.3046,164.5014,574.3287,5.974522874,0.577680396,6.3722,6.3469,1.83E-05,4.35E-07,0.0027,0.5715,0.3566,0.3086,0.8765,0.3969
HD144981,0.886,193.3332,581.3569,9.148638921,1.363064032,5.3164,19.8099,4.10E-06,9.84E-07,0.0999,0.3222,0.4405,0.3228,0.8594,0.7639
HD145263,1.5812,172.5542,765.8541,2.142033008,0.158298217,11.6218,12.1731,0.000465002,3.83E-06,0.0171,0.1174,0.9458,0.1595,0.1535,0.244
HD145554,4.5816,119.2469,359.8203,26.01654337,2.914125476,20.5983,11.0729,0.000184228,4.39E-06,0.0037,0.3355,0.7301,0.4713,0.7315,0.2997
HD145631,1.8828,100.5028,252.2133,37.9500664,6.175336254,10.8903,24.3912,7.99E-06,1.58E-05,0.9488,0.1268,0.5183,0.5721,0.721,0.4369
HD145972,6.3482,87.4166,468.2738,18.99005326,0.375451773,2.2013,11.8695,0.000128634,5.88E-07,0.139,0.1949,0.4614,0.0593,0.631,0.8953
HD145689,0.9089,132.0836,651.1121,10.19675225,0.554746825,14.8363,19.9244,4.31E-05,8.14E-07,0.0259,0.0219,0.2539,0.8467,0.4241,0.4534
HD146606,1.9734,70.1728,308.3474,163.4633018,3.622942909,2.9431,6.5989,0.000584057,2.32E-06,0.0059,0.0109,0.2607,0.2053,0.7379,0.7689
HD146897,2.2652,98.3299,284.4016,6.571646099,0.762297264,6.4476,16.6918,0.001706691,2.15E-06,0.022,0.0879,0.2105,0.8243,0.6054,0.094
HD147010,2.8126,104.0969,196.2052,55.56961049,15.85105284,11.2148,23.9971,0.000290975,8.31E-05,0.4081,0.2153,0.198,0.3217,0.6755,0.1157
HD147137,17.2668,117.8407,239.1703,11.87445905,3.130277977,14.2948,6.5704,0.000120685,2.06E-06,0.2899,0.4484,0.1523,0.0052,0.1571,0.6159
HD147594,15.8076,81.2862,402.4621,7.437601726,0.294745703,6.2267,24.6415,5.52E-05,5.66E-07,0.0014,0.0466,0.89,0.5132,0.1325,0.3516
HD151109,20.0829,96.6731,269.0181,103.2221838,14.16434169,12.1263,8.0597,0.000496312,4.80E-06,0.1134,0.0691,0.8715,0.4253,0.0908,0.7483
HD157728,3.9742,103.2059,480.8797,9.59920347,0.546152801,10.9357,23.6899,0.002255563,1.60E-06,0.0041,0.0355,0.2501,0.9893,0.5727,0.476
HD159492,3.0339,122.1641,298.2135,10.1536591,1.82063074,7.0187,4.0569,0.000271116,4.58E-06,0.0453,0.0047,0.4185,0.3934,0.2521,0.5144
GamOph,11.7168,96.8024,520.903,28.29253014,1.063889243,10.2254,10.8825,0.003552671,2.12E-06,0.0816,0.9296,0.5865,0.3366,0.2817,0.4817
HD164029,13.8727,70.0812,801.8265,17.37225835,0.189591457,10.7232,29.8916,0.00066597,1.62E-05,0.5795,0.0008,0.6865,0.9911,0.1982,0.7039
HD169666,8.694,157.5437,756.0842,2.309596227,0.147015016,6.9114,11.4522,5.51E-05,4.35E-07,0.0742,0.5973,0.1082,0.3519,0.048,0.6298
HD169022,9.9488,141.9014,888.8639,60.4572236,1.444660438,15.9327,8.3106,0.00036104,1.78E-06,0.0777,0.9961,0.6316,0.2015,0.1146,0.216
HD172555,3.0407,216.461,670.9056,3.070818954,0.575091133,23.9018,1.6601,0.001354737,2.70E-06,0.0105,0.0994,0.6927,0.2208,0.4248,0.6248
EtaTel,3.294,120.4862,303.3103,17.83720263,2.959671335,20.5692,5.0029,0.003114978,1.44E-05,0.094,0.0921,0.2317,0.393,0.2065,0.3167
HD181327,0.4078,81.8966,338.8969,9.359741136,0.403403523,6.2496,5.6602,0.006377566,4.42E-07,0.0233,0.3803,0.752,0.2056,0.3322,0.0337
HD182919,3.5015,101.9793,279.9974,30.89793478,4.017964347,11.237,12.118,0.000143138,6.95E-06,0.0236,0.3051,0.4433,0.4253,0.1209,0.0682
HD184930,3.954,119.9208,690.5651,290.7234707,12.17098856,22.294,23.4906,4.83E-07,1.36E-06,0.1229,0.8001,0.2222,0.396,0.5141,0.6703
HD191174,22.1639,117.8543,456.9931,16.58986841,1.315218027,7.4742,6.9243,3.57E-05,5.91E-07,0.0056,0.0279,0.6802,0.9191,0.3942,0.2128
