# L um,San 8K ,L um,San 20K ,L um,san carlos 50K,L um,san carlos 100K,L um,san carlos 200K mir&fir,L um,san 292K
8.86390E+01,2.20239E+01,1.50301E+02,6.97411E+00,8.86390E+01,2.36473E+01,8.86390E+01,2.55667E+01,8.86390E+01,3.02327E+01,8.86390E+01,2.96332E+01
8.84500E+01,4.55900E+00,1.49758E+02,,8.84500E+01,7.05790E+00,8.84500E+01,8.78400E+00,8.84500E+01,1.37162E+01,8.84500E+01,1.34151E+01
8.82618E+01,,1.49220E+02,,8.82618E+01,,8.82618E+01,,8.82618E+01,,8.82618E+01,
8.80745E+01,,1.48685E+02,,8.80745E+01,,8.80745E+01,,8.80745E+01,,8.80745E+01,
8.78878E+01,,1.48154E+02,,8.78878E+01,,8.78878E+01,,8.78878E+01,,8.78878E+01,
8.77020E+01,3.29980E+00,1.47627E+02,1.52599E+00,8.77020E+01,1.53880E+00,8.77020E+01,5.77180E+00,8.77020E+01,1.27700E+01,8.77020E+01,1.61722E+01
8.75170E+01,1.72369E+01,1.47103E+02,,8.75170E+01,1.64561E+01,8.75170E+01,2.00648E+01,8.75170E+01,2.61412E+01,8.75170E+01,2.98166E+01
8.73327E+01,1.44904E+01,1.46583E+02,,8.73327E+01,1.46551E+01,8.73327E+01,1.81977E+01,8.73327E+01,2.37631E+01,8.73327E+01,2.77789E+01
8.71492E+01,1.42250E+00,1.46067E+02,,8.71492E+01,2.12160E+00,8.71492E+01,5.50710E+00,8.71492E+01,1.09040E+01,8.71492E+01,1.57190E+01
8.69666E+01,,1.45555E+02,,8.69666E+01,,8.69666E+01,,8.69666E+01,,8.69666E+01,2.76740E+00
8.67846E+01,,1.45046E+02,,8.67846E+01,,8.67846E+01,,8.67846E+01,,8.67846E+01,1.71550E+00
8.66035E+01,6.84170E+00,1.44540E+02,4.14841E+00,8.66035E+01,5.06060E+00,8.66035E+01,7.66150E+00,8.66035E+01,1.46801E+01,8.66035E+01,1.73179E+01
8.64230E+01,2.81261E+01,1.44038E+02,1.28825E+01,8.64230E+01,2.72968E+01,8.64230E+01,2.96893E+01,8.64230E+01,3.50647E+01,8.64230E+01,3.89985E+01
8.62433E+01,3.37660E+01,1.43540E+02,9.36815E+00,8.62433E+01,3.53829E+01,8.62433E+01,3.75875E+01,8.62433E+01,4.20401E+01,8.62433E+01,4.52697E+01
8.60644E+01,2.11561E+01,1.43045E+02,,8.60644E+01,2.25423E+01,8.60644E+01,2.52678E+01,8.60644E+01,2.99753E+01,8.60644E+01,3.16134E+01
8.58862E+01,1.06530E+00,1.42553E+02,,8.58862E+01,1.15970E+00,8.58862E+01,4.75370E+00,8.58862E+01,8.67840E+00,8.58862E+01,8.62510E+00
8.57088E+01,,1.42065E+02,,8.57088E+01,,8.57088E+01,,8.57088E+01,,8.57088E+01,
8.55321E+01,,1.41580E+02,1.89299E+00,8.55321E+01,,8.55321E+01,,8.55321E+01,,8.55321E+01,
8.53561E+01,,1.41099E+02,6.67625E+00,8.53561E+01,8.71000E-01,8.53561E+01,1.60220E+00,8.53561E+01,9.47010E+00,8.53561E+01,8.29000E+00
8.51808E+01,1.33528E+01,1.40621E+02,,8.51808E+01,1.47445E+01,8.51808E+01,1.66032E+01,8.51808E+01,2.33156E+01,8.51808E+01,2.53327E+01
