# micron,En90
20.97221,2140.61625
20.95103,2177.65885
20.92989,2218.37128
20.90879,2261.69187
20.88773,2308.77865
20.86672,2355.53385
20.84575,2400.24992
20.82482,2440.05542
20.80393,2468.94605
20.78309,2492.40951
20.76228,2513.13364
20.74152,2522.49884
20.7208,2518.55447
20.70012,2504.60254
20.67948,2480.66914
20.65888,2449.76452
20.63833,2419.02106
20.61781,2384.22418
20.59734,2341.98655
20.5769,2302.8335
20.55651,2269.94483
20.53616,2244.94366
20.51585,2224.46076
20.49557,2208.33216
20.47534,2198.16765
20.45515,2194.69006
20.435,2194.72881
20.41488,2201.52636
20.39481,2217.76078
20.37477,2239.47401
20.35478,2265.59088
20.33483,2296.49384
20.31491,2329.47907
20.29503,2365.93759
20.27519,2409.45479
20.25539,2457.00242
20.23563,2509.09387
20.21591,2559.2561
20.19622,2603.24473
20.17657,2649.80073
20.15697,2706.85564
20.1374,2767.00943
20.11787,2821.09248
20.09837,2869.47814
20.07891,2918.30261
20.0595,2977.88865
20.04012,3033.69531
20.02077,3074.59937
20.00146,3116.18565
19.9822,3166.35973
19.96296,3213.58436
19.94377,3261.849
19.92461,3313.49918
19.90549,3362.62511
19.8864,3407.38144
19.86735,3466.22854
19.84834,3534.11221
19.82937,3589.03574
19.81043,3638.91379
19.79152,3689.08894
19.77266,3761.6926
19.75383,3824.87411
19.73503,3882.09226
19.71627,3926.53981
19.69755,3943.16816
19.67886,4008.97771
19.66021,4071.7649
19.64159,4095.23902
19.62301,4118.45043
19.60446,4151.01167
19.58595,4173.09927
19.56747,4187.10143
19.54903,4199.78288
19.53062,4200.63773
19.51225,4192.56133
19.49391,4185.71088
19.4756,4186.52078
19.45733,4184.31196
19.4391,4166.75504
19.4209,4159.19366
19.40273,4149.22265
19.3846,4132.40736
19.3665,4115.79804
19.34843,4095.94196
19.3304,4052.75556
19.3124,4020.20414
19.29444,4001.78045
19.27651,3980.49655
19.25861,3948.15342
19.24074,3919.68252
19.22291,3898.79087
19.20511,3851.65608
19.18734,3802.14868
19.16961,3767.35608
19.15191,3732.89774
19.13424,3688.18638
19.11661,3643.70177
19.099,3603.71559
19.08143,3559.4854
19.06389,3523.57098
19.04639,3488.39935
19.02892,3439.26881
19.01148,3396.77191
18.99407,3347.29798
18.97669,3297.13494
18.95934,3245.76345
18.94203,3192.64531
18.92474,3138.47364
18.90749,3089.38552
18.89027,3040.64972
18.87308,2989.85859
18.85593,2943.41915
18.8388,2898.80314
18.8217,2854.18025
18.80464,2806.44289
18.78761,2770.0994
18.7706,2742.86709
18.75363,2719.7292
18.73669,2699.5568
18.71978,2685.86979
18.7029,2674.68378
18.68605,2662.25161
18.66923,2658.78711
18.65245,2661.39224
18.63569,2667.48224
18.61896,2674.24453
18.60226,2675.76087
18.58559,2682.56692
18.56895,2688.08984
18.55234,2686.43872
18.53576,2692.14791
18.51921,2702.92815
18.50269,2707.25731
18.4862,2710.94693
18.46974,2717.81525
18.45331,2724.2308
18.4369,2722.26547
18.42053,2710.86938
18.40419,2703.53283
18.38787,2697.76846
18.37159,2683.6705
18.35533,2669.52153
18.3391,2655.05911
18.32289,2634.90743
18.30672,2609.79491
18.29058,2587.84705
18.27447,2562.54131
18.25838,2528.76041
18.24232,2495.83621
18.22629,2461.79804
18.21029,2428.92395
18.19431,2396.85763
18.17837,2362.77573
18.16245,2333.54426
18.14656,2303.18171
18.1307,2272.48569
18.11487,2240.46135
18.09906,2213.52625
18.08328,2191.74379
18.06753,2166.76555
18.0518,2141.15461
18.0361,2119.46508
18.02043,2105.18048
18.00479,2097.55205
17.98918,2087.48756
17.97359,2075.37697
17.95803,2067.91032
17.94249,2066.5868
17.92698,2070.0855
17.9115,2072.79719
17.89605,2073.28172
17.88062,2075.01585
17.86522,2081.73836
17.84985,2089.55085
17.8345,2092.26349
17.81918,2089.9774
17.80388,2096.45654
17.78861,2106.48385
17.77337,2113.55431
17.75815,2117.97657
17.74296,2120.28488
17.72779,2126.59336
17.71266,2131.9375
17.69754,2132.48063
17.68246,2129.6233
17.66739,2126.66494
17.65236,2120.64304
17.63735,2112.01211
17.62236,2098.84467
17.6074,2087.1438
17.59247,2075.1702
17.57756,2059.77553
17.56268,2043.20626
17.54782,2023.85488
17.53298,2002.26983
17.51818,1980.28244
17.50339,1955.31123
17.48863,1930.77119
17.4739,1906.20608
17.45919,1881.22811
17.44451,1847.83144
17.42985,1813.49896
17.41521,1782.9043
17.4006,1747.92755
17.38602,1711.79647
17.37146,1679.05417
17.35692,1642.7682
17.34241,1605.22537
17.32792,1570.99804
17.31346,1536.85294
17.29901,1503.30253
17.2846,1470.4102
17.2846,1475.10731
17.27021,1440.18784
17.25584,1402.38776
17.2415,1365.92636
17.22718,1335.82814
17.21288,1308.18283
17.19861,1283.34362
17.18436,1262.13894
17.17014,1242.05808
17.15593,1214.19535
17.14176,1186.68508
17.1276,1160.1345
17.11347,1131.92622
17.09936,1099.35205
17.08528,1067.86032
17.07121,1041.13062
17.05718,1018.53705
17.04316,1001.4445
17.02917,986.60861
17.01519,972.25685
17.00125,956.87369
16.98733,941.70746
16.97342,927.08494
16.95955,909.18347
16.94569,885.5453
16.93186,862.84223
16.91805,846.15602
16.90426,831.90387
16.89049,819.19798
16.87675,808.64709
16.86303,800.42129
16.84933,795.4397
16.83565,790.15245
16.822,781.93954
16.80837,775.06218
16.79475,768.04206
16.78117,759.75909
16.7676,752.71976
16.75406,742.16295
16.74054,733.193
16.72704,731.40768
16.71356,730.64518
16.7001,730.26104
16.68667,732.78787
16.67325,735.14787
16.65986,735.06265
16.64649,733.94224
16.63314,729.15925
16.61981,720.13304
16.6065,712.40492
16.59322,706.68671
16.57996,698.85623
16.56671,694.4724
16.55349,692.86019
16.54029,695.51781
16.52711,697.05763
16.51395,696.69316
16.50081,693.20036
16.4877,689.0097
16.4746,684.22783
16.46153,676.32582
16.44847,669.44014
16.43544,659.79504
16.42243,651.66317
16.40944,646.85871
16.39646,642.25928
16.38351,638.42564
16.37058,637.08929
16.35767,635.07457
16.34478,631.49682
16.33191,626.27938
16.31906,618.01904
16.30623,607.83443
16.29342,597.36097
16.28063,585.90469
16.26786,574.0408
16.25511,563.95672
16.24238,557.15955
16.22967,552.09889
16.21699,547.79965
16.20431,542.96985
16.19167,536.22212
16.17904,528.14546
16.16643,518.96961
16.15384,509.96637
16.14126,500.77651
16.12871,490.71667
16.11618,480.36909
16.10367,470.99284
16.09117,462.84026
16.0787,458.92883
16.06625,458.84525
16.05381,458.79685
16.0414,455.94272
16.029,450.86978
16.01662,445.58356
16.00426,436.26326
15.99192,427.4083
15.9796,421.25831
15.9673,415.89587
15.95502,411.02694
15.94276,407.94712
15.93051,407.00785
15.91828,409.49123
15.90608,415.20583
15.89389,422.91768
15.88172,426.26943
15.86957,426.63924
15.85744,426.89521
15.84532,427.31356
15.83322,428.25911
15.82115,430.91741
15.80909,434.94884
15.79705,442.03527
15.78503,450.92968
15.77302,462.97213
15.76104,478.85325
15.74907,495.84136
15.73712,513.32925
15.72519,528.28725
15.71328,538.68991
15.70138,550.10915
15.6895,565.65529
15.67765,580.08091
15.6658,595.45438
15.65398,613.86815
15.64217,635.57292
15.63039,659.79266
15.61862,684.49342
15.60686,708.80545
15.59513,735.03237
15.58341,758.68894
15.57172,777.89773
15.56003,793.41273
15.54837,806.24059
15.53672,817.40638
15.52509,826.27183
15.51348,838.04175
15.50189,850.33305
15.49031,856.5559
15.47875,861.52596
15.46721,864.24422
15.45568,862.9491
15.44417,858.51769
15.43268,848.21203
15.42121,833.45558
15.40975,817.51198
15.39831,801.12392
15.38689,781.94987
15.37548,761.4245
15.36409,744.40873
15.35272,727.89666
15.34136,712.3258
15.33003,698.47183
15.3187,684.37908
15.3074,667.72313
15.29611,648.7015
15.28484,627.48779
15.27358,605.6378
15.26234,582.12151
15.25112,558.57411
15.23992,539.0047
15.22873,521.57139
15.21755,505.89163
15.2064,493.36851
15.19525,481.65962
15.18413,471.67568
15.17302,459.60983
15.16193,443.84865
15.15086,429.19736
15.1398,417.34448
15.12876,404.28179
15.11773,391.25175
15.10672,381.00003
15.09572,371.24527
15.08474,363.22699
15.07378,360.18193
15.06284,359.54132
15.05191,358.16249
15.04099,355.2814
15.03009,349.15804
15.01921,342.5854
15.00834,337.24514
14.99749,330.63911
14.98665,313.18188
14.97583,291.62153
14.96503,298.72384
14.95424,309.37724
14.94346,312.57505
14.9327,314.84025
14.92196,317.28094
14.91123,318.28767
14.90052,321.05967
14.88982,323.6035
14.87914,324.48985
14.86848,323.78872
14.85783,322.55356
14.84719,326.44556
14.83657,331.8137
14.82596,339.26696
14.81537,353.89736
14.8048,371.80799
14.79424,387.85549
14.78369,405.3156
14.77317,422.01244
14.76265,438.12621
14.75215,452.79556
14.74167,465.21904
14.7312,475.14725
14.72074,483.57494
14.7103,489.74301
14.69987,493.54329
14.68946,495.73071
14.67907,497.45781
14.66869,495.62662
